File,Format,Type,Num_seqs,Sum_len,Min_len,Avg_len,Max_len
D11001.R1.fq.gz,FASTQ,DNA,"81,279",20233597,246,248.9,250
D11002.R1.fq.gz,FASTQ,DNA,"83,782",20856407,247,248.9,250
D11003.R1.fq.gz,FASTQ,DNA,"60,530",15067705,246,248.9,250
D11005.R1.fq.gz,FASTQ,DNA,"78,854",19630366,246,248.9,250
D11006.R1.fq.gz,FASTQ,DNA,"83,956",20898120,247,248.9,250
D11007.R1.fq.gz,FASTQ,DNA,"63,645",15842571,246,248.9,250
D11008.R1.fq.gz,FASTQ,DNA,"84,000",20908808,246,248.9,250
D11009.R1.fq.gz,FASTQ,DNA,"79,555",19804467,246,248.9,250
D11010.R1.fq.gz,FASTQ,DNA,"84,000",20908888,246,248.9,250
D11012.R1.fq.gz,FASTQ,DNA,"81,267",20231496,246,249,250
D11013.R1.fq.gz,FASTQ,DNA,"68,836",17134932,246,248.9,250
D11014.R1.fq.gz,FASTQ,DNA,"83,966",20901124,246,248.9,250
D11016.R1.fq.gz,FASTQ,DNA,"84,000",20910094,246,248.9,250
D11017.R1.fq.gz,FASTQ,DNA,"84,000",20908808,246,248.9,250
D11019.R1.fq.gz,FASTQ,DNA,"84,000",20909669,247,248.9,250
D11021.R1.fq.gz,FASTQ,DNA,"83,737",20843874,246,248.9,250
D11022.R1.fq.gz,FASTQ,DNA,"80,197",19963009,246,248.9,250
D11023.R1.fq.gz,FASTQ,DNA,"77,591",19315906,246,248.9,250
D11025.R1.fq.gz,FASTQ,DNA,"83,947",20895542,246,248.9,250
D11030.R1.fq.gz,FASTQ,DNA,"84,000",20909443,247,248.9,250
D11031.R1.fq.gz,FASTQ,DNA,"83,951",20896797,246,248.9,250
D11032.R1.fq.gz,FASTQ,DNA,"83,686",20830511,246,248.9,250
D11037.R1.fq.gz,FASTQ,DNA,"83,865",20875836,246,248.9,250
D11038.R1.fq.gz,FASTQ,DNA,"83,819",20864262,247,248.9,250
D11039.R1.fq.gz,FASTQ,DNA,"76,199",18968695,246,248.9,250
D11042.R1.fq.gz,FASTQ,DNA,"73,610",18324161,247,248.9,250
D11043.R1.fq.gz,FASTQ,DNA,"83,887",20881014,246,248.9,250
D11045.R1.fq.gz,FASTQ,DNA,"84,000",20907486,246,248.9,250
D11048.R1.fq.gz,FASTQ,DNA,"83,792",20854647,246,248.9,250
D11049.R1.fq.gz,FASTQ,DNA,"66,946",16662036,246,248.9,250
D11055.R1.fq.gz,FASTQ,DNA,"79,370",19753637,246,248.9,250
D11058.R1.fq.gz,FASTQ,DNA,"60,054",14946748,247,248.9,250
D11064.R1.fq.gz,FASTQ,DNA,"84,000",20906546,246,248.9,250
D11070.R1.fq.gz,FASTQ,DNA,"83,773",20849623,246,248.9,250
D11077.R1.fq.gz,FASTQ,DNA,"84,000",20906536,247,248.9,250
D11088.R1.fq.gz,FASTQ,DNA,"65,382",16271260,246,248.9,250
D11095.R1.fq.gz,FASTQ,DNA,"84,000",20915649,247,249,250
D11096.R1.fq.gz,FASTQ,DNA,"74,544",18552655,246,248.9,250
D11100.R1.fq.gz,FASTQ,DNA,"84,000",20905159,246,248.9,250
D11101.R1.fq.gz,FASTQ,DNA,"83,699",20829609,246,248.9,250
D11144.R1.fq.gz,FASTQ,DNA,"84,000",20904428,246,248.9,250
D11145.R1.fq.gz,FASTQ,DNA,"73,969",18408552,246,248.9,250
D11148.R1.fq.gz,FASTQ,DNA,"83,914",20883793,246,248.9,250
D11155.R1.fq.gz,FASTQ,DNA,"83,850",20867701,246,248.9,250
D11156.R1.fq.gz,FASTQ,DNA,"83,964",20896243,246,248.9,250
D11157.R1.fq.gz,FASTQ,DNA,"61,993",15429628,247,248.9,250
D11158.R1.fq.gz,FASTQ,DNA,"84,000",20904861,246,248.9,250
D11159.R1.fq.gz,FASTQ,DNA,"66,736",16608809,247,248.9,250
D11161.R1.fq.gz,FASTQ,DNA,"60,827",15138890,247,248.9,250
D11162.R1.fq.gz,FASTQ,DNA,"83,907",20883486,246,248.9,250
D11163.R1.fq.gz,FASTQ,DNA,"84,000",20905694,246,248.9,250
D11165.R1.fq.gz,FASTQ,DNA,"75,341",18751674,246,248.9,250
D11180.R1.fq.gz,FASTQ,DNA,"83,917",20884748,246,248.9,250
D11183.R1.fq.gz,FASTQ,DNA,"77,745",19349048,247,248.9,250
D11184.R1.fq.gz,FASTQ,DNA,"83,582",20801684,247,248.9,250
D11185.R1.fq.gz,FASTQ,DNA,"83,987",20902642,246,248.9,250
D11187.R1.fq.gz,FASTQ,DNA,"76,371",19007192,246,248.9,250
D11188.R1.fq.gz,FASTQ,DNA,"71,165",17711800,246,248.9,250
D11189.R1.fq.gz,FASTQ,DNA,"84,000",20906301,246,248.9,250
D11192.R1.fq.gz,FASTQ,DNA,"83,747",20842865,246,248.9,250
D11193.R1.fq.gz,FASTQ,DNA,"84,000",20906062,247,248.9,250
D11194.R1.fq.gz,FASTQ,DNA,"84,000",20905811,246,248.9,250
D11195.R1.fq.gz,FASTQ,DNA,"84,000",20906274,246,248.9,250
D11196.R1.fq.gz,FASTQ,DNA,"84,000",20905629,246,248.9,250
D12004.R1.fq.gz,FASTQ,DNA,"61,808",15385715,246,248.9,250
D12005.R1.fq.gz,FASTQ,DNA,"60,867",15151527,247,248.9,250
D12007.R1.fq.gz,FASTQ,DNA,"83,728",20845268,246,249,250
D12013.R1.fq.gz,FASTQ,DNA,"61,611",15337339,246,248.9,250
D12014.R1.fq.gz,FASTQ,DNA,"80,108",19941792,246,248.9,250
D12015.R1.fq.gz,FASTQ,DNA,"81,473",20281969,246,248.9,250
D12016.R1.fq.gz,FASTQ,DNA,"69,264",17242984,247,248.9,250
D12017.R1.fq.gz,FASTQ,DNA,"79,723",19846052,246,248.9,250
D12020.R1.fq.gz,FASTQ,DNA,"83,998",20911764,246,249,250
D12021.R1.fq.gz,FASTQ,DNA,"70,709",17602774,246,248.9,250
D12022.R1.fq.gz,FASTQ,DNA,"81,086",20184935,246,248.9,250
D12023.R1.fq.gz,FASTQ,DNA,"78,586",19563121,246,248.9,250
D12027.R1.fq.gz,FASTQ,DNA,"83,338",20746041,246,248.9,250
D12028.R1.fq.gz,FASTQ,DNA,"68,658",17091317,247,248.9,250
D12029.R1.fq.gz,FASTQ,DNA,"67,598",16827099,247,248.9,250
D12030.R1.fq.gz,FASTQ,DNA,"71,612",17827457,247,248.9,250
D12031.R1.fq.gz,FASTQ,DNA,"83,941",20896615,246,248.9,250
D12032.R1.fq.gz,FASTQ,DNA,"76,912",19145665,246,248.9,250
D12034.R1.fq.gz,FASTQ,DNA,"77,739",19352037,246,248.9,250
D12035.R1.fq.gz,FASTQ,DNA,"75,541",18805190,247,248.9,250
D12036.R1.fq.gz,FASTQ,DNA,"79,496",19789242,247,248.9,250
D12037.R1.fq.gz,FASTQ,DNA,"79,389",19763215,246,248.9,250
D12038.R1.fq.gz,FASTQ,DNA,"76,925",19149405,246,248.9,250
D12039.R1.fq.gz,FASTQ,DNA,"84,000",20910350,247,248.9,250
D12040.R1.fq.gz,FASTQ,DNA,"74,364",18512299,247,248.9,250
D12041.R1.fq.gz,FASTQ,DNA,"72,749",18111348,247,249,250
D12042.R1.fq.gz,FASTQ,DNA,"77,065",19184067,247,248.9,250
D12043.R1.fq.gz,FASTQ,DNA,"67,144",16714584,246,248.9,250
D12044.R1.fq.gz,FASTQ,DNA,"83,888",20884038,247,249,250
D12045.R1.fq.gz,FASTQ,DNA,"70,728",17606958,246,248.9,250
D12046.R1.fq.gz,FASTQ,DNA,"84,000",20911376,247,248.9,250
D12047.R1.fq.gz,FASTQ,DNA,"79,412",19768669,246,248.9,250
D12048.R1.fq.gz,FASTQ,DNA,"71,083",17694497,246,248.9,250
D12049.R1.fq.gz,FASTQ,DNA,"74,446",18532584,246,248.9,250
D12050.R1.fq.gz,FASTQ,DNA,"83,918",20890923,246,248.9,250
D12052.R1.fq.gz,FASTQ,DNA,"79,922",19896133,247,248.9,250
D12055.R1.fq.gz,FASTQ,DNA,"61,926",15416209,247,248.9,250
D12057.R1.fq.gz,FASTQ,DNA,"65,508",16307236,246,248.9,250
D12058.R1.fq.gz,FASTQ,DNA,"76,238",18978166,246,248.9,250
D12059.R1.fq.gz,FASTQ,DNA,"70,957",17663818,247,248.9,250
D12060.R1.fq.gz,FASTQ,DNA,"76,145",18955751,247,248.9,250
D12061.R1.fq.gz,FASTQ,DNA,"83,805",20861641,246,248.9,250
D12064.R1.fq.gz,FASTQ,DNA,"83,842",20871901,246,248.9,250
D13001.R1.fq.gz,FASTQ,DNA,"84,000",20910842,246,248.9,250
D13002.R1.fq.gz,FASTQ,DNA,"84,000",20910890,247,248.9,250
D13003.R1.fq.gz,FASTQ,DNA,"68,930",17160162,247,249,250
D13004.R1.fq.gz,FASTQ,DNA,"61,858",15398927,246,248.9,250
D13005.R1.fq.gz,FASTQ,DNA,"72,261",17988860,246,248.9,250
D13006.R1.fq.gz,FASTQ,DNA,"81,378",20258388,246,248.9,250
D13007.R1.fq.gz,FASTQ,DNA,"84,000",20910593,246,248.9,250
D13008.R1.fq.gz,FASTQ,DNA,"69,735",17358826,246,248.9,250
D13009.R1.fq.gz,FASTQ,DNA,"78,656",19581299,247,248.9,250
D13010.R1.fq.gz,FASTQ,DNA,"83,958",20900217,247,248.9,250
D13011.R1.fq.gz,FASTQ,DNA,"80,960",20154288,246,248.9,250
D13012.R1.fq.gz,FASTQ,DNA,"84,000",20911132,246,248.9,250
D13013.R1.fq.gz,FASTQ,DNA,"84,000",20910775,246,248.9,250
D13014.R1.fq.gz,FASTQ,DNA,"84,000",20916461,246,249,250
D13015.R1.fq.gz,FASTQ,DNA,"79,738",19849794,246,248.9,250
D13016.R1.fq.gz,FASTQ,DNA,"84,000",20910743,247,248.9,250
D13018.R1.fq.gz,FASTQ,DNA,"83,966",20902566,246,248.9,250
D13020.R1.fq.gz,FASTQ,DNA,"84,000",20911249,246,248.9,250
D13021.R1.fq.gz,FASTQ,DNA,"77,103",19194832,247,249,250
D13022.R1.fq.gz,FASTQ,DNA,"84,000",20911154,246,248.9,250
D13023.R1.fq.gz,FASTQ,DNA,"78,138",19451382,247,248.9,250
D13025.R1.fq.gz,FASTQ,DNA,"69,331",17255239,246,248.9,250
D13026.R1.fq.gz,FASTQ,DNA,"75,798",18864832,246,248.9,250
D13027.R1.fq.gz,FASTQ,DNA,"70,376",17515053,247,248.9,250
D13028.R1.fq.gz,FASTQ,DNA,"63,411",15781905,247,248.9,250
D13029.R1.fq.gz,FASTQ,DNA,"84,000",20905930,246,248.9,250
D13030.R1.fq.gz,FASTQ,DNA,"72,477",18037982,246,248.9,250
D13031.R1.fq.gz,FASTQ,DNA,"84,000",20905725,246,248.9,250
D13032.R1.fq.gz,FASTQ,DNA,"73,809",18369486,246,248.9,250
D13033.R1.fq.gz,FASTQ,DNA,"84,000",20906125,246,248.9,250
D13034.R1.fq.gz,FASTQ,DNA,"69,175",17216272,246,248.9,250
D13035.R1.fq.gz,FASTQ,DNA,"75,635",18824542,247,248.9,250
D13036.R1.fq.gz,FASTQ,DNA,"70,090",17443801,246,248.9,250
D13037.R1.fq.gz,FASTQ,DNA,"84,000",20905634,246,248.9,250
D13038.R1.fq.gz,FASTQ,DNA,"72,120",17949378,246,248.9,250
D13039.R1.fq.gz,FASTQ,DNA,"60,771",15124727,247,248.9,250
D13040.R1.fq.gz,FASTQ,DNA,"84,000",20905322,246,248.9,250
D13041.R1.fq.gz,FASTQ,DNA,"63,943",15914486,246,248.9,250
D13042.R1.fq.gz,FASTQ,DNA,"84,000",20906683,246,248.9,250
D13043.R1.fq.gz,FASTQ,DNA,"83,744",20842405,246,248.9,250
D13044.R1.fq.gz,FASTQ,DNA,"70,700",17596089,246,248.9,250
D13045.R1.fq.gz,FASTQ,DNA,"83,911",20883583,246,248.9,250
D13046.R1.fq.gz,FASTQ,DNA,"83,994",20904618,246,248.9,250
D13048.R1.fq.gz,FASTQ,DNA,"83,996",20905249,247,248.9,250
D13050.R1.fq.gz,FASTQ,DNA,"67,333",16757951,247,248.9,250
D13051.R1.fq.gz,FASTQ,DNA,"83,952",20893390,246,248.9,250
D13052.R1.fq.gz,FASTQ,DNA,"84,000",20905737,247,248.9,250
D13053.R1.fq.gz,FASTQ,DNA,"84,000",20905667,247,248.9,250
D13054.R1.fq.gz,FASTQ,DNA,"84,000",20905084,247,248.9,250
D13055.R1.fq.gz,FASTQ,DNA,"83,869",20873462,246,248.9,250
D13056.R1.fq.gz,FASTQ,DNA,"83,997",20905228,246,248.9,250
D13058.R1.fq.gz,FASTQ,DNA,"83,730",20838431,246,248.9,250
D13060.R1.fq.gz,FASTQ,DNA,"84,000",20905606,247,248.9,250
D13061.R1.fq.gz,FASTQ,DNA,"83,879",20875346,247,248.9,250
D13063.R1.fq.gz,FASTQ,DNA,"83,968",20897604,246,248.9,250
D13065.R1.fq.gz,FASTQ,DNA,"71,631",17827804,246,248.9,250
D13067.R1.fq.gz,FASTQ,DNA,"84,000",20905320,247,248.9,250
D13068.R1.fq.gz,FASTQ,DNA,"70,907",17646627,247,248.9,250
D13069.R1.fq.gz,FASTQ,DNA,"75,607",18816509,246,248.9,250
D13070.R1.fq.gz,FASTQ,DNA,"80,693",20083494,246,248.9,250
D13071.R1.fq.gz,FASTQ,DNA,"83,908",20881887,246,248.9,250
D13072.R1.fq.gz,FASTQ,DNA,"78,533",19544416,246,248.9,250
D13073.R1.fq.gz,FASTQ,DNA,"84,000",20905125,246,248.9,250
D13074.R1.fq.gz,FASTQ,DNA,"83,956",20895382,247,248.9,250
D13075.R1.fq.gz,FASTQ,DNA,"84,000",20905581,246,248.9,250
D13076.R1.fq.gz,FASTQ,DNA,"83,957",20896747,247,248.9,250
D13077.R1.fq.gz,FASTQ,DNA,"84,000",20905588,247,248.9,250
D13078.R1.fq.gz,FASTQ,DNA,"84,000",20904651,246,248.9,250
D13079.R1.fq.gz,FASTQ,DNA,"65,284",16247671,246,248.9,250
D13080.R1.fq.gz,FASTQ,DNA,"74,038",18426944,247,248.9,250
D13081.R1.fq.gz,FASTQ,DNA,"84,000",20904820,247,248.9,250
D13082.R1.fq.gz,FASTQ,DNA,"83,933",20891220,247,248.9,250
D13083.R1.fq.gz,FASTQ,DNA,"84,000",20905882,247,248.9,250
D13084.R1.fq.gz,FASTQ,DNA,"83,991",20901720,247,248.9,250
D13085.R1.fq.gz,FASTQ,DNA,"83,765",20846725,246,248.9,250
D13087.R1.fq.gz,FASTQ,DNA,"79,658",19824255,247,248.9,250
D13088.R1.fq.gz,FASTQ,DNA,"76,332",18996939,247,248.9,250
D13089.R1.fq.gz,FASTQ,DNA,"83,267",20723404,247,248.9,250
D13090.R1.fq.gz,FASTQ,DNA,"83,890",20879344,247,248.9,250
D13091.R1.fq.gz,FASTQ,DNA,"82,480",20526632,246,248.9,250
D13092.R1.fq.gz,FASTQ,DNA,"69,652",17334177,247,248.9,250
D13093.R1.fq.gz,FASTQ,DNA,"83,988",20902210,246,248.9,250
D13094.R1.fq.gz,FASTQ,DNA,"84,000",20905663,247,248.9,250
D13095.R1.fq.gz,FASTQ,DNA,"83,557",20794884,246,248.9,250
D13096.R1.fq.gz,FASTQ,DNA,"83,892",20878703,246,248.9,250
D13097.R1.fq.gz,FASTQ,DNA,"83,778",20849959,247,248.9,250
D13098.R1.fq.gz,FASTQ,DNA,"84,000",20904921,246,248.9,250
D13099.R1.fq.gz,FASTQ,DNA,"84,000",20905546,246,248.9,250
D13100.R1.fq.gz,FASTQ,DNA,"84,000",20905277,247,248.9,250
D13101.R1.fq.gz,FASTQ,DNA,"84,000",20904708,247,248.9,250
D13102.R1.fq.gz,FASTQ,DNA,"83,650",20818094,247,248.9,250
D13103.R1.fq.gz,FASTQ,DNA,"65,447",16288719,246,248.9,250
D13104.R1.fq.gz,FASTQ,DNA,"84,000",20905644,247,248.9,250
D13105.R1.fq.gz,FASTQ,DNA,"74,816",18619221,247,248.9,250
D13106.R1.fq.gz,FASTQ,DNA,"65,890",16397879,246,248.9,250
D13108.R1.fq.gz,FASTQ,DNA,"83,790",20855942,246,248.9,250
D13109.R1.fq.gz,FASTQ,DNA,"84,000",20908903,246,248.9,250
D13110.R1.fq.gz,FASTQ,DNA,"84,000",20908081,247,248.9,250
D13111.R1.fq.gz,FASTQ,DNA,"84,000",20908925,246,248.9,250
D13112.R1.fq.gz,FASTQ,DNA,"65,197",16227819,246,248.9,250
D13113.R1.fq.gz,FASTQ,DNA,"84,000",20907547,246,248.9,250
D13114.R1.fq.gz,FASTQ,DNA,"83,984",20904366,246,248.9,250
D13115.R1.fq.gz,FASTQ,DNA,"79,641",19823621,247,248.9,250
D13116.R1.fq.gz,FASTQ,DNA,"78,657",19578146,246,248.9,250
D13117.R1.fq.gz,FASTQ,DNA,"73,009",18172632,247,248.9,250
D13118.R1.fq.gz,FASTQ,DNA,"74,199",18469113,247,248.9,250
D13119.R1.fq.gz,FASTQ,DNA,"76,887",19137531,247,248.9,250
D13120.R1.fq.gz,FASTQ,DNA,"83,872",20876444,246,248.9,250
D13121.R1.fq.gz,FASTQ,DNA,"84,000",20909573,247,248.9,250
D13122.R1.fq.gz,FASTQ,DNA,"83,968",20900928,246,248.9,250
D13123.R1.fq.gz,FASTQ,DNA,"75,850",18879306,246,248.9,250
D13124.R1.fq.gz,FASTQ,DNA,"72,586",18067875,247,248.9,250
D13125.R1.fq.gz,FASTQ,DNA,"84,000",20908805,247,248.9,250
D13126.R1.fq.gz,FASTQ,DNA,"84,000",20907511,246,248.9,250
D13127.R1.fq.gz,FASTQ,DNA,"67,728",16857277,246,248.9,250
D13128.R1.fq.gz,FASTQ,DNA,"83,844",20870686,246,248.9,250
D13129.R1.fq.gz,FASTQ,DNA,"84,000",20908643,246,248.9,250
D13130.R1.fq.gz,FASTQ,DNA,"83,898",20883068,247,248.9,250
D13131.R1.fq.gz,FASTQ,DNA,"84,000",20908683,246,248.9,250
D13132.R1.fq.gz,FASTQ,DNA,"84,000",20908610,247,248.9,250
D13133.R1.fq.gz,FASTQ,DNA,"83,888",20880881,246,248.9,250
D13134.R1.fq.gz,FASTQ,DNA,"83,992",20906722,246,248.9,250
D13136.R1.fq.gz,FASTQ,DNA,"60,466",15050958,246,248.9,250
D13138.R1.fq.gz,FASTQ,DNA,"68,191",16973237,246,248.9,250
D13139.R1.fq.gz,FASTQ,DNA,"83,995",20906787,246,248.9,250
D13140.R1.fq.gz,FASTQ,DNA,"72,859",18134561,246,248.9,250
D13141.R1.fq.gz,FASTQ,DNA,"82,375",20503265,246,248.9,250
D13142.R1.fq.gz,FASTQ,DNA,"84,000",20907468,246,248.9,250
D13143.R1.fq.gz,FASTQ,DNA,"83,930",20890205,246,248.9,250
D13144.R1.fq.gz,FASTQ,DNA,"83,885",20879029,246,248.9,250
D13145.R1.fq.gz,FASTQ,DNA,"84,000",20909237,246,248.9,250
D13147.R1.fq.gz,FASTQ,DNA,"83,964",20899757,247,248.9,250
D13149.R1.fq.gz,FASTQ,DNA,"84,000",20906683,247,248.9,250
D13150.R1.fq.gz,FASTQ,DNA,"84,000",20906515,246,248.9,250
D13151.R1.fq.gz,FASTQ,DNA,"75,251",18729561,246,248.9,250
D13152.R1.fq.gz,FASTQ,DNA,"61,231",15238775,247,248.9,250
D13153.R1.fq.gz,FASTQ,DNA,"83,659",20831903,247,249,250
D13154.R1.fq.gz,FASTQ,DNA,"83,865",20873027,246,248.9,250
D13155.R1.fq.gz,FASTQ,DNA,"80,830",20117372,247,248.9,250
D13156.R1.fq.gz,FASTQ,DNA,"83,986",20903351,246,248.9,250
D13157.R1.fq.gz,FASTQ,DNA,"83,911",20884748,246,248.9,250
D13158.R1.fq.gz,FASTQ,DNA,"83,974",20900321,246,248.9,250
D13159.R1.fq.gz,FASTQ,DNA,"83,987",20903516,246,248.9,250
D13160.R1.fq.gz,FASTQ,DNA,"83,828",20872906,247,249,250
D13162.R1.fq.gz,FASTQ,DNA,"84,000",20905935,246,248.9,250
D13163.R1.fq.gz,FASTQ,DNA,"65,395",16275787,247,248.9,250
D13164.R1.fq.gz,FASTQ,DNA,"62,818",15634875,247,248.9,250
D13165.R1.fq.gz,FASTQ,DNA,"83,909",20884002,247,248.9,250
D13166.R1.fq.gz,FASTQ,DNA,"84,000",20906681,247,248.9,250
D13167.R1.fq.gz,FASTQ,DNA,"84,000",20907198,247,248.9,250
D13169.R1.fq.gz,FASTQ,DNA,"84,000",20907429,247,248.9,250
D13170.R1.fq.gz,FASTQ,DNA,"76,725",19096412,246,248.9,250
D13172.R1.fq.gz,FASTQ,DNA,"83,940",20891452,247,248.9,250
D13173.R1.fq.gz,FASTQ,DNA,"84,000",20906483,246,248.9,250
D13174.R1.fq.gz,FASTQ,DNA,"66,943",16661366,246,248.9,250
D13176.R1.fq.gz,FASTQ,DNA,"84,000",20906372,247,248.9,250
D13177.R1.fq.gz,FASTQ,DNA,"83,917",20886428,247,248.9,250
D13178.R1.fq.gz,FASTQ,DNA,"84,000",20906748,247,248.9,250
D13181.R1.fq.gz,FASTQ,DNA,"84,000",20906803,247,248.9,250
D13182.R1.fq.gz,FASTQ,DNA,"83,928",20888552,246,248.9,250
D13184.R1.fq.gz,FASTQ,DNA,"83,953",20894777,246,248.9,250
D13185.R1.fq.gz,FASTQ,DNA,"84,000",20906828,247,248.9,250
D13186.R1.fq.gz,FASTQ,DNA,"83,691",20830272,247,248.9,250
D13187.R1.fq.gz,FASTQ,DNA,"70,964",17662803,246,248.9,250
D13188.R1.fq.gz,FASTQ,DNA,"83,713",20835546,246,248.9,250
D13189.R1.fq.gz,FASTQ,DNA,"84,000",20906425,246,248.9,250
D13190.R1.fq.gz,FASTQ,DNA,"67,890",16896980,247,248.9,250
D13191.R1.fq.gz,FASTQ,DNA,"63,099",15704814,246,248.9,250
D21001.R1.fq.gz,FASTQ,DNA,"83,684",20828567,246,248.9,250
D21002.R1.fq.gz,FASTQ,DNA,"83,998",20905958,246,248.9,250
D21003.R1.fq.gz,FASTQ,DNA,"70,405",17522869,246,248.9,250
D21005.R1.fq.gz,FASTQ,DNA,"84,000",20907289,247,248.9,250
D21007.R1.fq.gz,FASTQ,DNA,"84,000",20906824,247,248.9,250
D21008.R1.fq.gz,FASTQ,DNA,"83,743",20842250,246,248.9,250
D21009.R1.fq.gz,FASTQ,DNA,"84,000",20906469,247,248.9,250
D21012.R1.fq.gz,FASTQ,DNA,"83,843",20868257,246,248.9,250
D21013.R1.fq.gz,FASTQ,DNA,"84,000",20907189,246,248.9,250
D21014.R1.fq.gz,FASTQ,DNA,"84,000",20907906,247,248.9,250
D21015.R1.fq.gz,FASTQ,DNA,"83,918",20885968,247,248.9,250
D21018.R1.fq.gz,FASTQ,DNA,"83,667",20824269,247,248.9,250
D21019.R1.fq.gz,FASTQ,DNA,"84,000",20907617,247,248.9,250
D21020.R1.fq.gz,FASTQ,DNA,"76,944",19150802,246,248.9,250
D21021.R1.fq.gz,FASTQ,DNA,"73,449",18280357,246,248.9,250
D21022.R1.fq.gz,FASTQ,DNA,"78,952",19650070,247,248.9,250
D21024.R1.fq.gz,FASTQ,DNA,"82,882",20628148,247,248.9,250
D21025.R1.fq.gz,FASTQ,DNA,"84,000",20906920,246,248.9,250
D21026.R1.fq.gz,FASTQ,DNA,"75,741",18851285,247,248.9,250
D21027.R1.fq.gz,FASTQ,DNA,"83,911",20885601,247,248.9,250
D21028.R1.fq.gz,FASTQ,DNA,"80,235",19969400,246,248.9,250
D21029.R1.fq.gz,FASTQ,DNA,"73,466",18285008,247,248.9,250
D21030.R1.fq.gz,FASTQ,DNA,"76,456",19029260,246,248.9,250
D21032.R1.fq.gz,FASTQ,DNA,"64,916",16156767,246,248.9,250
D21036.R1.fq.gz,FASTQ,DNA,"84,000",20906523,246,248.9,250
D21038.R1.fq.gz,FASTQ,DNA,"84,000",20907207,246,248.9,250
D21039.R1.fq.gz,FASTQ,DNA,"82,267",20475820,247,248.9,250
D21040.R1.fq.gz,FASTQ,DNA,"84,000",20906582,246,248.9,250
D21041.R1.fq.gz,FASTQ,DNA,"83,987",20903488,246,248.9,250
